Elapsed Time (ms),Coarse Encoder Counts (6B),Coarse Degree
13399,E5FAB9,-118.0946675900277
13400,E5FB62,-118.08296398891967
13401,E5FCB4,-118.05955678670361
13402,E5FE06,-118.03614958448753
13403,E5FF58,-118.01274238227148
13404,E600AA,-117.9893351800554
13406,E601FC,-117.96592797783934
13407,E6034E,-117.94252077562327
13408,E604A0,-117.9191135734072
13409,E605F2,-117.89570637119112
13410,E6069B,-117.8840027700831
13411,E607ED,-117.86059556786705
13412,E6093F,-117.83718836565097
13413,E60B3A,-117.80207756232686
13414,E60C8C,-117.77867036011081
13415,E60DDE,-117.75526315789473
13416,E60F30,-117.73185595567867
13417,E61082,-117.70844875346259
13418,E611D4,-117.68504155124654
13419,E61326,-117.66163434903046
13420,E61478,-117.6382271468144
13421,E615CA,-117.61481994459835
13422,E6171C,-117.59141274238227
13423,E6186E,-117.56800554016621
13424,E619C0,-117.54459833795013
13425,E61B12,-117.52119113573409
13426,E61C64,-117.49778393351801
13427,E61DB6,-117.47437673130194
13428,E61F08,-117.45096952908587
13429,E62103,-117.41585872576177
13430,E62255,-117.3924515235457
13431,E623A7,-117.36904432132965
13432,E624F9,-117.34563711911358
13433,E6264B,-117.32222991689751
13434,E6279D,-117.29882271468144
13435,E628EF,-117.27541551246539
13436,E62A41,-117.25200831024931
13437,E62C3C,-117.21689750692519
13438,E62D8E,-117.19349030470914
13439,E62EE0,-117.17008310249307
13440,E63032,-117.146675900277
13441,E63184,-117.12326869806095
13442,E632D6,-117.09986149584488
13443,E634D1,-117.06475069252078
13444,E63623,-117.04134349030471
13445,E63775,-117.01793628808863
13446,E638C7,-116.99452908587259
13447,E63A19,-116.97112188365651
13448,E63B6B,-116.94771468144044
13449,E63D66,-116.91260387811634
13450,E63EB8,-116.88919667590028
13451,E6400A,-116.8657894736842
13452,E6415C,-116.84238227146815
13453,E642AE,-116.81897506925208
13454,E64400,-116.79556786703601
13455,E64552,-116.77216066481994
13456,E646A4,-116.74875346260389
13457,E647F6,-116.72534626038781
13458,E64948,-116.70193905817175
13459,E64A9A,-116.67853185595567
13460,E64C95,-116.64342105263158
13461,E64DE7,-116.6200138504155
13462,E64F39,-116.59660664819945
13463,E6508B,-116.57319944598338
13464,E651DD,-116.54979224376731
13465,E6532F,-116.52638504155124
13466,E65481,-116.50297783933519
13467,E655D3,-116.47957063711911
13468,E65725,-116.45616343490305
13469,E65877,-116.43275623268697
13470,E659C9,-116.40934903047092
13471,E65B1B,-116.38594182825486
13472,E65C6D,-116.36253462603878
13473,E65DBF,-116.33912742382272
13474,E65F11,-116.31572022160665
13475,E66063,-116.29231301939059
13476,E6610C,-116.28060941828254
13477,E6625E,-116.25720221606649
13478,E663B0,-116.23379501385041
13479,E66502,-116.21038781163435
13480,E66654,-116.18698060941827
13481,E667A6,-116.16357340720222
13482,E6684F,-116.15186980609418
13483,E669A1,-116.1284626038781
13484,E66AF3,-116.10505540166206
13485,E66C45,-116.08164819944598
13486,E66D97,-116.05824099722992
13487,E66E40,-116.04653739612189
13488,E66F92,-116.02313019390581
13489,E670E4,-115.99972299168975
13490,E67236,-115.97631578947369
13491,E672DF,-115.96461218836565
13492,E67431,-115.94120498614957
13493,E67583,-115.91779778393352
13494,E676D5,-115.89439058171746
13495,E6777E,-115.8826869806094
13496,E678D0,-115.85927977839336
13497,E67A22,-115.83587257617728
13498,E67ACB,-115.82416897506926
13499,E67C1D,-115.80076177285319
13500,E67D6F,-115.77735457063712
13501,E67E18,-115.76565096952909
13502,E67F6A,-115.74224376731301
13503,E680BC,-115.71883656509695
13504,E68165,-115.70713296398893
13504,E682B7,-115.68372576177285
13505,E68360,-115.67202216066482
13506,E684B2,-115.64861495844876
13507,E68604,-115.62520775623268
13508,E686AD,-115.61350415512466
13509,E687FF,-115.59009695290858
13510,E688A8,-115.57839335180056
13511,E689FA,-115.5549861495845
13512,E68AA3,-115.54328254847644
13513,E68BF5,-115.51987534626039
13514,E68C9E,-115.50817174515237
13515,E68DF0,-115.48476454293629
13516,E68E99,-115.47306094182825
